Nick Name;" ""Mobile""";" ""Full Name""";" ""DOB"""
Ali;60102001784;Waa;1st January 2018
Ali;60102001785;Waa;1st January 2019
Ali;60102001786;Waa;1st January 2020
Ali;60102001787;Waa;1st January 2021
Ali;60102001788;Waa;1st January 2022
Ali;60102001789;Waa;1st January 2023
Ali;60102001790;Waa;1st January 2024
Ali;60102001791;Waa;1st January 2025
Ali;60102001792;Waa;1st January 2026
Ali;60102001793;Waa;1st January 2027
Ali;60102001794;Waa;1st January 2028
Ali;60102001795;Waa;1st January 2029
Ali;60102001796;Waa;1st January 2030
Ali;60102001797;Waa;1st January 2031
Ali;60102001798;Waa;1st January 2032
Ali;60102001799;Waa;1st January 2033
Ali;60102001800;Waa;1st January 2034
Ali;60102001801;Waa;1st January 2035
Ali;60102001802;Waa;1st January 2036
Ali;60102001803;Waa;1st January 2037
Ali;60102001804;Waa;1st January 2038
Ali;60102001805;Waa;1st January 2039
Ali;60102001806;Waa;1st January 2040
Ali;60102001807;Waa;1st January 2041
Ali;60102001808;Waa;1st January 2042
Ali;60102001809;Waa;1st January 2043
